Brand,Category,CountryOfOrigin,Description,Design_Styling,Item_url,ManufacturedBy,Native_product_id,PrimaryColor,Season,SeasonYear,Subcategory1,Subcategory2,Subcategory3,Title,available_colors,currencyIso,currentPrice,discount,fabric,fashionType,fit,image_urls,length,modelImage,neck,occasion,originalPrice,pattern,productGroups,productType,product_detail,product_id,sizeTag,sleeve_styling,source
Veromoda,Fashion,China,"Light beige solid women's belt, secured with a tang closure.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111016401-oatmeal,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Beige Belt,,INR,909,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016401_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1299,Plain coloured,,,"{""S"": ""33"", ""XL"": ""95"", ""SKU"": ""111016401-Oatmeal"", ""Color"": ""Beige"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Plain coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's black waist belt with gold buckle, perfect for casual and partywear.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/255866501-black,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Black Waist Belt ,,INR,1049,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866501_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1499,Printed,,,"{""SKU"": ""255866501-Black"", ""Color"": ""Black"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Printed"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,Pack of 3 statement women's belts.,,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/255866401-black,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,"Black, Shimmer & Maroon Belts - Pack of 3 ",,INR,1119,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g7.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g8.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866401_g9.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1599,Plain coloured,,,"{""SKU"": ""255866401-Black"", ""Color"": ""Beige"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Plain coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's beige textured waist belt, woven texture, resin buckle.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111017701-oatmeal,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Beige Textured Waist Belt,,INR,909,(30% Off),95%Polypropylene 5%Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017701_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1299,Textured,,,"{""xS"": ""27.5"", ""s"": ""29.5"", ""L"": ""31"", ""XL"": ""33"", ""SKU"": ""111017701-Oatmeal"", ""Color"": ""Beige"", ""Fabric"": ""95%Polypropylene 5%Polyurethane"", ""Pattern"": ""Textured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's brown faux leather belt with a thin golden metal buckle, visible stitch lines.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111016901-oatmeal,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Brown Buckle Waist Belt,,INR,1049,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016901_g4.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1499,Plain coloured,,,"{""xS"": ""27.5"", ""s"": ""29.5"", ""L"": ""31"", ""XL"": ""33"", ""SKU"": ""111016901-Oatmeal"", ""Color"": ""Brown"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Plain coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,Women's beige PU belt with a buckle.,,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/255866301-sepia-rose,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Beige Belt ,,INR,909,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g5.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866301_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1299,Plain coloured,,,"{""SKU"": ""255866301-Sepia-Rose"", ""Color"": ""Beige"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Plain coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's beige textured waist belt, woven texture, resin buckle.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111017601-oatmeal,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Beige Textured Waist Belt,,INR,1189,(30% Off),60%Polyester 40%Elastane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111017601_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1699,Textured,,,"{""xS"": ""27.5"", ""s"": ""29.5"", ""L"": ""31"", ""XL"": ""33"", ""SKU"": ""111017601-Oatmeal"", ""Color"": ""Beige"", ""Fabric"": ""60%Polyester 40%Elastane"", ""Pattern"": ""Textured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's tan brown PU waist belt, has golden trim and buckle.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/255866201-tan,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Brown Waist Belt ,,INR,1119,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/07Oct2021/255866201_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1599,Snakeskin texture,,,"{""SKU"": ""255866201-Tan"", ""Color"": ""Brown"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Snakeskin texture"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Light beige solid women's belt, secured with a tang closure.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111016701-tortoise-shell,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Brown Belt,,INR,909,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016701_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1299,Plain coloured,,,"{""S"": ""33"", ""XL"": ""95"", ""SKU"": ""111016701-Tortoise-Shell"", ""Color"": ""Brown"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Plain coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,India,Yellow Belt,,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/211627601-pale%20banana,"Vero Moda Retail Private Limited, 4Th Floor, The Lalit Mumbai, Sahar Airport Road Sahar Andheri-East, 400 059 Mumbai, India",,,,,Accessories,,, Yellow Belt,,INR,400,(50% Off),100%Polyurethane%%,,,"https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g0.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vm/16-09-2020/211627601_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,799,Plain Coloured,,,"{""SKU"": ""211627601-Pale Banana"", ""Fabric"": ""100%Polyurethane%%"", ""Pattern"": ""Plain Coloured"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cotton cloth"", ""Country of Origin"": ""India"", ""Name & Address of Manufacturer / Importer"": ""Vero Moda Retail Private Limited, 4Th Floor, The Lalit Mumbai, Sahar Airport Road Sahar Andheri-East, 400 059 Mumbai, India""}",,,,Veromoda
Veromoda,Fashion,China,"Black solid belt with stud embellishments, broad at the closure, secured with a tang closure.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111016301-black,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Black Gold Studded Belt ,,INR,1189,(30% Off),60%Polyurethane 35%Iron 5%Zinc,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016301_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1699,Embellished,,,"{""xS"": ""27.5"", ""s"": ""29.5"", ""L"": ""31"", ""XL"": ""33"", ""SKU"": ""111016301-Black"", ""Color"": ""Black"", ""Fabric"": ""60%Polyurethane 35%Iron 5%Zinc"", ""Pattern"": ""Embellished"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Women's black snake skin textured belt, secured with a tang closure.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/vm-belt/111016801-black,"Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011",,,,,Accessories,,,Black Snake Skin Textured Belt,,INR,909,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g1.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g2.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/oct-4-2021/111016801_g3.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,1299,Animal print,,,"{""S"": ""33"", ""XL"": ""95"", ""SKU"": ""111016801-Black"", ""Color"": ""Black"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Animal print"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Wenzhou Everstar Import &Export Co.No.165 Wenzhou Avenue, Economic,Wenzhou,325011""}",,,,Veromoda
Veromoda,Fashion,China,"Two- toned colourblocked funcitonal handbag with detachable hand held strap, gold round ring detail, main compartment with zip, zip at the back.",,https://www.veromoda.in/fashion-vm/fashion-accessories-vm/fashion-bags-belts-wallets-vm/222339901-tan,"Kerisse Handbag Company LimitedFlat B5, 6/F, Blk B,,Kowloon,000000",,,,,Accessories,,,Tan Colourblocked Handbag,,INR,2309,(30% Off),100% Polyurethane,,,"https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g1.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g0.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g2.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g3.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g4.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g5.JPG?width=1080&height=1355&mode=fill&fill=blur&format=auto,https://images.bestsellerclothing.in/data/vero-moda/24-Sep-2021/222339901_g6.jpg?width=1080&height=1355&mode=fill&fill=blur&format=auto",,,,Casual,3299,Colourblocked,,,"{""SKU"": ""222339901-Tan"", ""Color"": ""Brown"", ""Fabric"": ""100% Polyurethane"", ""Pattern"": ""Colourblocked"", ""Occasion"": ""Casual"", ""Care Instruction"": ""Wipe with Cloth"", ""Country of Origin"": ""China"", ""Name & Address of Manufacturer / Importer"": ""Kerisse Handbag Company LimitedFlat B5, 6/F, Blk B,,Kowloon,000000""}",,,,Veromoda
